,water_temperature,spike
0,141.843338,0.0
1,141.8466949,0.0
2,141.879776,0.0
3,142.0388947,0.0
4,142.2245941,0.0
5,142.2727203,0.0
6,142.4640045,0.0
7,142.5686188,0.0
8,142.6802673,0.0
9,142.5191956,0.0
10,189.399033971,1.0
11,142.4052887,0.0
12,142.2340851,0.0
13,142.0486145,0.0
14,141.9811554,0.0
15,142.0640259,0.0
16,191.89606482,1.0
17,187.63170782400002,1.0
18,186.21025549200002,1.0
19,142.1452332,0.0
20,142.2979431,0.0
21,142.3025665,0.0
22,142.2895813,0.0
23,142.1468811,0.0
24,142.1527405,0.0
25,142.095108,0.0
26,142.1440582,0.0
27,142.1172485,0.0
28,142.3099365,0.0
29,142.2684631,0.0
30,142.4009399,0.0
31,142.3162842,0.0
32,142.2701416,0.0
33,142.2114716,0.0
34,142.2515717,0.0
35,142.1692505,0.0
36,142.1268158,0.0
37,142.0793304,0.0
38,142.1647491,0.0
39,142.1755981,0.0
40,142.3119354,0.0
41,142.3053284,0.0
42,142.3159027,0.0
43,184.93073274,1.0
44,142.2544098,0.0
45,186.265724953,1.0
46,189.109476479,1.0
47,142.1875763,0.0
48,142.1443787,0.0
49,142.1984863,0.0
50,142.0958862,0.0
51,142.0932007,0.0
52,142.0192413,0.0
53,142.1497498,0.0
54,142.1256104,0.0
55,187.675455264,1.0
56,184.83188776,1.0
57,142.1783752,0.0
58,142.1239014,0.0
59,142.192337,0.0
60,142.1824493,0.0
61,142.1553345,0.0
62,142.1727753,0.0
63,142.139679,0.0
64,142.2032776,0.0
65,142.1483917,0.0
66,142.2214508,0.0
67,142.1492157,0.0
68,189.171333183,1.0
69,142.2340851,0.0
70,142.3459473,0.0
71,142.2393646,0.0
72,142.2424469,0.0
73,142.2275848,0.0
74,142.2180939,0.0
75,142.2065735,0.0
76,142.1796722,0.0
77,189.12970976900002,1.0
78,142.2027893,0.0
79,142.2059631,0.0
80,187.788268404,1.0
81,142.2638397,0.0
82,142.2134399,0.0
83,190.45486088799998,1.0
84,142.1304932,0.0
85,142.1766663,0.0
86,142.0768433,0.0
87,142.1421204,0.0
88,142.1143646,0.0
89,142.0310974,0.0
90,142.2092285,0.0
91,142.3073578,0.0
92,142.2926178,0.0
93,186.428695372,1.0
94,142.3119812,0.0
95,142.2852173,0.0
96,142.2853394,0.0
97,142.1634827,0.0
98,142.2023926,0.0
99,190.449892302,1.0
100,191.87116015499998,1.0
101,142.1267853,0.0
102,142.1697388,0.0
103,142.2243347,0.0
104,142.3488312,0.0
105,142.2578125,0.0
106,142.2680359,0.0
107,142.2298584,0.0
108,184.86985478,1.0
109,142.2075806,0.0
110,142.1791992,0.0
111,142.2638855,0.0
112,142.1868439,0.0
113,142.2441711,0.0
114,190.72905209,1.0
115,142.3351135,0.0
116,142.1246033,0.0
117,142.0505829,0.0
118,142.0936584,0.0
119,142.1788177,0.0
120,142.1510162,0.0
121,142.1703186,0.0
122,142.1259003,0.0
123,142.1770172,0.0
124,142.1779327,0.0
125,142.2518768,0.0
126,142.2035522,0.0
127,190.47025722,1.0
128,187.62741756000003,1.0
129,142.141983,0.0
130,142.1540833,0.0
131,142.2060547,0.0
132,142.2215576,0.0
133,142.2561493,0.0
134,142.2882538,0.0
135,186.28787273,1.0
136,191.97605205000002,1.0
137,142.204483,0.0
138,142.1083527,0.0
139,142.1461639,0.0
140,142.1813965,0.0
141,142.2110596,0.0
142,190.631255138,1.0
