,steam_temperature,spike
0,431.3750916,0.0
1,430.8352356,0.0
2,430.0348511,0.0
3,429.3709106,0.0
4,429.2259521,0.0
5,429.7301025,0.0
6,430.7183533,0.0
7,431.0759888,0.0
8,431.2669373,0.0
9,431.141449,0.0
10,430.8068542,0.0
11,430.5696716,0.0
12,430.6440735,0.0
13,430.8599243,0.0
14,431.2467041,0.0
15,431.4907227,0.0
16,431.2276001,0.0
17,430.5087585,0.0
18,429.936615,0.0
19,429.8921204,0.0
20,430.0863647,0.0
21,430.588623,0.0
22,430.8175049,0.0
23,430.6516418,0.0
24,430.6896667,0.0
25,448.014816912,1.0
26,430.7834778,0.0
27,431.0330811,0.0
28,431.0072632,0.0
29,430.90448,0.0
30,430.6466064,0.0
31,430.4416809,0.0
32,430.0300903,0.0
33,429.7986755,0.0
34,429.9414978,0.0
35,430.1490479,0.0
36,430.6429443,0.0
37,430.8511047,0.0
38,430.7861023,0.0
39,430.302948,0.0
40,430.3635559,0.0
41,430.1819153,0.0
42,455.61771540399997,1.0
43,429.8280334,0.0
44,429.9117737,0.0
45,430.6896362,0.0
46,431.632019,0.0
47,431.6651917,0.0
48,453.68180697,1.0
49,432.0779114,0.0
50,432.0560608,0.0
51,431.5231323,0.0
52,430.5973206,0.0
53,430.1734619,0.0
54,430.3667603,0.0
55,430.7194824,0.0
56,431.0276794,0.0
57,431.1009216,0.0
58,431.6691895,0.0
59,431.8447571,0.0
60,432.194458,0.0
61,431.9619751,0.0
62,431.3779907,0.0
63,430.815155,0.0
64,430.865509,0.0
65,431.3426514,0.0
66,431.6861572,0.0
67,431.8716431,0.0
68,432.1589661,0.0
69,432.0189514,0.0
70,431.4273376,0.0
71,431.2920227,0.0
72,430.6692505,0.0
73,430.4501953,0.0
74,430.42453,0.0
75,452.36190489,1.0
76,452.36190489,1.0
77,452.36190489,1.0
78,430.8208618,0.0
79,431.5635071,0.0
80,431.7722778,0.0
81,432.0116272,0.0
82,431.7119446,0.0
83,431.103302,0.0
84,430.6473694,0.0
85,430.4325867,0.0
86,431.0070801,0.0
87,431.7657776,0.0
88,431.3336487,0.0
89,430.9984131,0.0
90,430.8243408,0.0
91,431.1975708,0.0
92,431.3924255,0.0
93,448.39434328000004,1.0
94,431.148407,0.0
95,431.3625488,0.0
96,431.5838318,0.0
97,432.0133057,0.0
98,432.0449524,0.0
99,431.9781494,0.0
100,432.0949097,0.0
101,431.8869934,0.0
102,431.4565125,0.0
103,431.3236389,0.0
104,431.125061,0.0
105,430.9502563,0.0
106,430.5869141,0.0
107,430.6079712,0.0
108,431.1591492,0.0
109,431.7381897,0.0
110,432.269928,0.0
111,432.4985046,0.0
112,432.1671143,0.0
113,431.4549255,0.0
114,431.1628723,0.0
115,431.2039185,0.0
116,431.4822083,0.0
117,431.4283447,0.0
118,431.2672424,0.0
119,431.5020447,0.0
120,431.9364319,0.0
121,432.2366028,0.0
122,432.539856,0.0
123,432.914032,0.0
124,432.3894348,0.0
125,432.0787048,0.0
126,431.5221558,0.0
127,431.3269043,0.0
128,431.5455933,0.0
129,431.5458984,0.0
130,431.859375,0.0
131,431.9639282,0.0
132,431.727356,0.0
133,431.3494873,0.0
134,431.3100891,0.0
135,431.4375,0.0
136,431.7898865,0.0
137,432.2099915,0.0
138,432.319458,0.0
139,432.3927002,0.0
140,432.0437622,0.0
141,431.6644592,0.0
142,431.728363,0.0
143,431.7069092,0.0
144,431.4570007,0.0
145,431.9692993,0.0
146,432.7808838,0.0
147,433.3929443,0.0
148,433.671875,0.0
149,433.355011,0.0
150,433.2716675,0.0
151,432.795105,0.0
152,432.3627625,0.0
153,432.6398621,0.0
154,432.8468018,0.0
155,433.3530579,0.0
156,433.7403259,0.0
157,434.265625,0.0
158,434.0359497,0.0
159,433.3432312,0.0
160,433.1214294,0.0
161,433.3581848,0.0
162,433.5823364,0.0
163,433.7450867,0.0
164,433.9981384,0.0
165,434.0626526,0.0
166,433.7555542,0.0
167,434.0268555,0.0
168,434.0375671,0.0
169,433.3963013,0.0
170,433.1885986,0.0
171,433.4107361,0.0
172,433.3710632,0.0
173,433.4571838,0.0
174,433.6429443,0.0
175,433.8356628,0.0
176,433.9714661,0.0
177,434.199646,0.0
178,434.3308105,0.0
179,434.2766113,0.0
180,434.235321,0.0
181,434.076355,0.0
182,433.6490784,0.0
183,433.1460571,0.0
184,433.064209,0.0
185,433.1724854,0.0
186,433.2822571,0.0
187,433.502655,0.0
188,433.836731,0.0
189,433.9258423,0.0
190,434.3795166,0.0
191,434.6124573,0.0
192,434.2029419,0.0
193,433.7957153,0.0
194,433.0943298,0.0
195,454.47305599500004,1.0
196,450.144741176,1.0
197,432.8314819,0.0
198,432.550415,0.0
199,432.1159668,0.0
200,432.0599365,0.0
201,432.2774048,0.0
202,432.7649841,0.0
203,433.0275269,0.0
204,459.22390865,1.0
205,433.2301025,0.0
206,432.9999695,0.0
207,432.9500732,0.0
208,432.9552002,0.0
209,433.0028076,0.0
210,433.3405151,0.0
211,433.8870544,0.0
212,433.8994446,0.0
213,433.7047729,0.0
214,433.5174866,0.0
215,433.4302368,0.0
216,433.3216858,0.0
217,433.1796265,0.0
218,433.1844177,0.0
